#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz   999727   749068  174442  21391  -75.9381079 0.0000294 1 0
cc-pvdz  2000271  1456288  400161  47201  -75.9380248 0.0000412 0 0
cc-pvdz  5000937  3441913 1198488 127256  -75.9380849 0.0000293 0 0
cc-pvdz 10001375  6539932 2768724 269740  -75.9380642 0.0000335 0 0


cc-pvtz  1000083   898993   53124   7739  -75.9477229 0.0000582 1 0
cc-pvtz  1999825  1783645  114842  16124  -75.9478826 0.0000552 0 0
cc-pvtz  5000121  4410293  319675  43558  -75.9480731 0.0000595 0 0
cc-pvtz  9999913  8740054  692893  93072  -75.9481173 0.0000986 0 0


cc-pvqz   999998   939966   27145   4236  -75.9400690 0.0003768 1 0
cc-pvqz  1999939  1873103   57149   8646  -75.9402593 0.0002747 0 0
cc-pvqz  5000293  4678099  155628  21949  -75.9407123 0.0001180 0 0
cc-pvqz  9999849  9302297  333497  47775  -75.9418320 0.0010000 0 0
