#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz   999966   666220  305280  20663  -92.6664366 0.0000114 0 0
cc-pvdz  2000035  1260424  685645  44533  -92.6664561 0.0000096 0 0
cc-pvdz  4999795  2877207 1997574 120867  -92.6665271 0.0005000 0 0
cc-pvdz  9999896  5298390 4481342 254254  -92.6665307 0.0000025 1 0


cc-pvtz   999951   857017  123400  11590  -92.7131886 0.0000485 0 0
cc-pvtz  2000003  1690068  269104  23469  -92.7132370 0.0000675 0 0
cc-pvtz  9999790  8142629 1652805 128028  -92.7139641 0.0000169 1 0


cc-pvqz 20000112 17649504 2045710 175536  -92.7228865 0.0000088 1 0
