#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz   999953   648642  305666  16280 -150.2912860 0.0000236 1 0


cc-pvtz   999974   867285  106726  10741 -150.3382820 0.0000888 1 0


cc-pvqz   999988   926340   55904   6758 -150.3423785 0.0001296 1 0
