#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz    99945    77985   19702   1987  -92.6663082 0.0000216 0 0
cc-pvdz   200029   151463   43819   3746  -92.6666800 0.0000183 0 0
cc-pvdz   500004   360103  126707   9348  -92.6667927 0.0000163 0 0
cc-pvdz  1000043   686807  283810  19339  -92.6668809 0.0000109 1 0
cc-pvdz  1999949  1305151  637810  41804  -92.6669362 0.0000058 1 0
cc-pvdz  4999944  2998695 1863450 114555  -92.6669632 0.0000064 1 0
cc-pvdz 10000081  5552588 4200759 242416  -92.6669884 0.0000027 1 0


cc-pvtz  1000009   872841  107069  10345  -92.7135115 0.0000231 1 0
cc-pvtz  1999860  1728640  232774  20713  -92.7139652 0.0000250 1 0
cc-pvtz  4999707  4250804  651333  53331  -92.7142824 0.0000179 1 0
cc-pvtz 10000068  8374476 1420393 110997  -92.7144008 0.0000076 1 0


cc-pvqz   999986   924164   60634   6442  -92.7209405 0.0000430 1 0
cc-pvqz  1999839  1845640  129360  12909  -92.7218276 0.0000365 1 0
cc-pvqz  4999873  4580062  354700  32393  -92.7226305 0.0000217 1 0
cc-pvqz  9649412  8767433  733818  65262  -92.7230620 0.0000125 1 0
cc-pvqz 19999972 18070704 1645800 142492  -92.7233011 0.0000182 1 0
