#basis- --Nwalk-- --Ndet-- -NwInit- NdInit- ----------E----------- U R
cc-pvdz      4986     1474     3391     160  -54.4801207 0.0000011 0 0
cc-pvdz     10003     2365     7451     275  -54.4801134 0.0000010 0 0
cc-pvdz     19942     3530    16152     544  -54.4801149 0.0000010 0 0
cc-pvdz     49961     5883    44085    1182  -54.4801157 0.0000008 0 0
cc-pvdz    100042     8378    92041    1809  -54.4801157 0.0000007 0 0
cc-pvdz    200236    11487   189177    2452  -54.4801160 0.0000008 0 0
cc-pvdz    500477    17023   483621    4113  -54.4801156 0.0000005 0 0
cc-pvdz    998977    22061   978929    6421  -54.4801144 0.0000005 0 0
cc-pvdz   1997108    28447  1972624    9151  -54.4801159 0.0000004 0 0
cc-pvdz   4993151    38280  4960436   12619  -54.4801143 0.0000004 1 0


cc-pvtz      4980     3456     1440     159  -54.5248859 0.0000075 0 0
cc-pvtz      9971     6313     3209     292  -54.5250783 0.0000063 0 0
cc-pvtz     19943    11804     7382     606  -54.5251934 0.0000066 0 0
cc-pvtz     50042    26263    22146    1521  -54.5252316 0.0000054 0 0
cc-pvtz     99982    46847    50048    2954  -54.5252319 0.0000047 0 0
cc-pvtz    200035    82609   111903    5644  -54.5252294 0.0000045 0 0
cc-pvtz    500050   166053   322416   13266  -54.5252347 0.0000022 0 0
cc-pvtz    999151   273929   706344   25379  -54.5252330 0.0000021 0 0
cc-pvtz   2000216   443739  1531673   47275  -54.5252379 0.0000024 0 0
cc-pvtz   5002347   807214  4162275   99601  -54.5252336 0.0000026 1 0


cc-pvqz      5001     3908      984     140  -54.5529104 0.0000146 0 0
cc-pvqz      9999     7673     2044     218  -54.5531076 0.0000130 0 0
cc-pvqz     20014    14626     4549     403  -54.5532509 0.0000113 0 0
cc-pvqz     49996    34517    13056    1068  -54.5533767 0.0000108 0 0
cc-pvqz     99933    66521    29394    2367  -54.5534434 0.0000105 0 0
cc-pvqz    200207   127373    66150    4914  -54.5534692 0.0000106 0 0
cc-pvqz    499845   291952   191675   11541  -54.5534884 0.0000051 0 0
cc-pvqz   1000066   535818   427039   22120  -54.5534827 0.0000046 0 0
cc-pvqz   1999309   976682   953060   45938  -54.5534914 0.0000050 0 0
cc-pvqz   4998016  2119089  2734436  121898  -54.5534843 0.0000058 1 0


cc-pv5z    499993   358253   125462    9730  -54.5627083 0.0000073 0 0
cc-pv5z    999935   687598   279008   18748  -54.5627140 0.0000078 0 0
cc-pv5z   2000468  1306392   620416   36797  -54.5627243 0.0000075 0 0
cc-pv5z   5000710  3020170  1788163   96300  -54.5627178 0.0000055 1 0


cc-pv6z    499944   390459    94285    7981  -54.5695951 0.0000084 0 0
cc-pv6z    999647   760296   207443   15992  -54.5696233 0.0000075 0 0
cc-pv6z   1999651  1477365   457344   31548  -54.5696252 0.0000094 0 0
cc-pv6z   5000060  3510334  1303603   78530  -54.5696533 0.0000104 1 0
