#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz  9996262  5173612 4362811 275331 -150.2211394 0.0000133 1 0


cc-pvtz  9999513  7906036 1692898 125468 -150.3073293 0.0000276 1 0


cc-pvqz 19175630 16672894 1978106 162918 -150.3233040 0.0000300 1 0
