#basis- --Nwalk-- --Ndet--- -NwInit- NdInit- ----------E----------- U R
cc-pvdz    998822    623054   300727   32912  -75.7318489 0.0000037 0 0
cc-pvdz   2017401   1177249   686309   68467  -75.7319086 0.0000035 0 0
cc-pvdz   4917755   2608721  1986467  172823  -75.7319412 0.0000040 0 0
cc-pvdz   9905516   4770136  4580807  351202  -75.7319458 0.0000038 1 0
cc-pvdz  20001554   8510193 10586960  676786  -75.7319582 0.0000033 1 0
cc-pvdz  49258433  17502702 30094970 1582850  -75.7319603 0.0000022 1 0
cc-pvdz 100702470  30058593 68157550 2913246  -75.7319563 0.0000025 1 0


cc-pvtz   1000101    828123   106288   14292  -75.8081237 0.0000201 0 0
cc-pvtz   1999920   1631391   227396   29850  -75.8084873 0.0000231 0 0
cc-pvtz   5028887   4047105   638659   81120  -75.8088152 0.0000262 0 0
cc-pvtz  10019283   7952578  1403626  157960  -75.8090113 0.0000278 1 0
cc-pvtz  20113322  15642223  3032664  353967  -75.8091184 0.0000256 1 0
cc-pvtz  50346975  38106037  8493030  963768  -75.8092104 0.0000190 1 0
cc-pvtz  99662351  73783592 18439610 2008687  -75.8092346 0.0000215 1 0


cc-pvqz    997706    894606    59495    7750  -75.8539236 0.0000486 0 0
cc-pvqz   2004998   1785153   126699   16382  -75.8550190 0.0000482 0 0
cc-pvqz   4998048   4399960   339396   45731  -75.8558564 0.0000530 0 0
cc-pvqz  10022141   8790902   728880   91889  -75.8564250 0.0000495 1 0
cc-pvqz  20035048  17472693  1556636  188140  -75.8567990 0.0000538 1 0
cc-pvqz  50121927  43126656  4219082  515114  -75.8570792 0.0000301 1 0
cc-pvqz 100135378  85564981  9063718 1044758  -75.8571556 0.0000366 1 0
cc-pvqz 200437644 169709036 19492250 2201675  -75.8573409 0.0000166 1 0


cc-pv5z    999737    925014    40739    5564  -75.8685890 0.0001082 0 0
cc-pv5z   1998030   1831363    85544   12228  -75.8699792 0.0001130 0 0
cc-pv5z   5006111   4566455   230435   31625  -75.8712099 0.0001182 0 0
cc-pv5z   9991453   9083637   487103   66960  -75.8721326 0.0001022 1 0
cc-pv5z  19997825  18172631  1039382  130012  -75.8730099 0.0000542 1 0
cc-pv5z  50035766  45034574  2789161  360667  -75.8737440 0.0000386 1 0
cc-pv5z 100190732  89493420  5880801  780832  -75.8737990 0.0000804 1 0
cc-pv5z 199698343 177329146 12423650 1624797  -75.8741163 0.0000426 1 0
