#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz    99909    73707   22754   2181 -150.2218886 0.0000237 0 0
cc-pvdz   200063   142834   48980   3711 -150.2218232 0.0000242 0 0
cc-pvdz   500020   337579  135945   8541 -150.2216982 0.0000235 0 0
cc-pvdz   999829   646658  296136  18673 -150.2216052 0.0000167 1 0
cc-pvdz  2000405  1239120  647374  42097 -150.2216027 0.0000179 1 0
cc-pvdz  5000214  2920637 1811353 120939 -150.2215616 0.0000179 1 0
cc-pvdz  9996984  5551473 3956265 256333 -150.2216105 0.0000091 1 0


cc-pvtz   999951   856157  114058  10774 -150.3076591 0.0000477 1 0
cc-pvtz  1999763  1690964  242424  20705 -150.3078291 0.0000373 1 0
cc-pvtz  4999837  4156621  657532  51331 -150.3076928 0.0000354 1 0
cc-pvtz  9999758  8235253 1401791 105030 -150.3077822 0.0000162 1 0


cc-pvqz   999965   917359   62943   7034 -150.3230164 0.0000606 1 0
cc-pvqz  1999999  1830293  132343  13375 -150.3234932 0.0000568 1 0
cc-pvqz  5000074  4542062  355656  32284 -150.3236750 0.0000423 1 0
cc-pvqz 10000044  9042769  753872  64845 -150.3237545 0.0000360 1 0
cc-pvqz 20000126 17962671 1587164 132912 -150.3239682 0.0000395 1 0
#cc-pvqz 49980874 44612116 4229967 341038 -150.3239808 0.0000147 0 0
