#basis- --Nwalk-- --Ndet--- -NwInit- NdInit- ----------E----------- U R
#cc-pvdz    993403    624216   298593   29815 -109.2808621 0.0000107 0 0
#cc-pvdz   2017436   1217553   668573   63921 -109.2808758 0.0000062 0 0
#cc-pvdz   4952103   2789521  1874305  159079 -109.2809030 0.0000048 1 0
#cc-pvdz   9921005   5198955  4167782  313940 -109.2809087 0.0000078 1 0
#cc-pvdz  19905157   9553747  9261495  627228 -109.2809189 0.0000097 1 0
#cc-pvdz  49456904  20842977 26375830 1573424 -109.2809132 0.0000061 1 0
#cc-pvdz 100136338  37387969 59141080 3124804 -109.2809206 0.0000045 1 0
cc-pvdz    997492    684473   225738   25517 -109.2807573 0.0000029 0 0
cc-pvdz   1989185   1326347   496723   55794 -109.2808036 0.0000029 0 0
cc-pvdz   4943585   3147030  1415577  149096 -109.2808461 0.0000028 0 0
cc-pvdz  10018413   6060477  3207176  310984 -109.2808686 0.0000030 1 0
cc-pvdz  19929718  11327675  7159357  626650 -109.2808719 0.0000027 1 0
cc-pvdz  49789120  25549248 20952830 1600960 -109.2808803 0.0000033 1 0
cc-pvdz  99367691  46441791 47143950 3240586 -109.2808795 0.0000027 1 0


#cc-pvtz   1003725    834799   109824   12280 -109.4007678 0.0000492 0 0
#cc-pvtz   1996417   1647461   233630   26052 -109.4008286 0.0000786 0 0
#cc-pvtz   5016840   4087400   633162   71710 -109.4009759 0.0000265 0 0
#cc-pvtz   9949817   8005634  1331323  153274 -109.4011317 0.0000355 1 0
#cc-pvtz  19888872  15819667  2845840  324454 -109.4012093 0.0000199 1 0
#cc-pvtz  49791330  38920981  7861557  861184 -109.4012545 0.0000203 1 0
#cc-pvtz  99645424  76620067 17008840 1779316 -109.4013150 0.0000325 1 0
cc-pvtz   1005119    862776    85697   10630 -109.4007668 0.0000147 0 0
cc-pvtz   2007923   1706148   181710   22229 -109.4008710 0.0000154 0 0
cc-pvtz   5017164   4206575   490442   61379 -109.4009238 0.0000169 0 0
cc-pvtz   9942191   8267754  1035208  130842 -109.4010411 0.0000181 1 0
cc-pvtz  19914377  16392298  2203970  278827 -109.4011155 0.0000169 1 0
cc-pvtz  50013653  40551929  6046138  758356 -109.4011886 0.0000155 1 0
cc-pvtz 100248021  80263080 13057530 1598004 -109.4012667 0.0000158 1 0


#cc-pvqz   1003104    902260    63598    7588 -109.4632843 0.0000620 0 0
#cc-pvqz   2000272   1781916   133396   15437 -109.4639927 0.0000641 0 0
#cc-pvqz   5009448   4440743   358289   41302 -109.4645060 0.0000536 0 0
#cc-pvqz   9972524   8789939   746746   86194 -109.4644149 0.0000512 1 0
#cc-pvqz  19947864  17491252  1561594  183525 -109.4648061 0.0000346 1 0
#cc-pvqz  50043153  43518743  4167148  492457 -109.4648828 0.0000647 1 0
#cc-pvqz  99994465  86384097  8775049 1031264 -109.4650473 0.0000564 1 0
#cc-pvqz 200118868 171726048 18615830 2154016 -109.4650943 0.0000178 1 0
cc-pvqz   1000652    913025    49009    6541 -109.4627397 0.0000303 0 0
cc-pvqz   1995111   1813827   102916   13315 -109.4634721 0.0000360 0 0
cc-pvqz   5008601   4524337   279706   33934 -109.4640907 0.0000385 0 0
cc-pvqz  10010063   8965818   580430   75434 -109.4644326 0.0000452 1 0
cc-pvqz  19936724  17781247  1215752  154394 -109.4646370 0.0000260 1 0
cc-pvqz  49953966  44203245  3223490  424280 -109.4648031 0.0000380 1 0
cc-pvqz 100183770  88170121  6787411  897190 -109.4648928 0.0000384 1 0
cc-pvqz 199666933 174647470 14235530 1894062 -109.4650325 0.0000170 1 0


#cc-pv5z   1000429    932947    43272    5403 -109.4841011 0.0000958 0 0
#cc-pv5z   2001691   1854028    90698   10644 -109.4853032 0.0000648 0 0
#cc-pv5z   5005456   4608481   243540   27913 -109.4860113 0.0000910 0 0
#cc-pv5z   9986718   9157587   509337   58407 -109.4865389 0.0000642 1 0
#cc-pv5z  20025697  18282416  1065435  123188 -109.4867913 0.0000650 1 0
#cc-pv5z  50061403  45480003  2799719  326732 -109.4872855 0.0000611 1 0
#cc-pv5z  99955652  90464987  5805206  682916 -109.4873769 0.0000313 1 0
#cc-pv5z 199756326 180147933 12108740 1428475 -109.4874120 0.0000230 1 1
cc-pv5z    997499    933678    35464    4891 -109.4833361 0.0000761 0 0
cc-pv5z   1996517   1867625    74970    9525 -109.4847209 0.0000932 0 0
cc-pv5z   4998752   4657652   200458   23339 -109.4857191 0.0000671 0 0
cc-pv5z  10000165   9272984   421090   49043 -109.4862565 0.0000756 1 0
cc-pv5z  19995354  18387013   872842  110788 -109.4865762 0.0000583 1 0
cc-pv5z  50042056  45796948  2297594  300946 -109.4869369 0.0000325 1 0
cc-pv5z  99991660  91269011  4783152  613588 -109.4872079 0.0000272 1 0
cc-pv5z 200066339 181882694  9956544 1297921 -109.4873961 0.0000286 1 0
