#basis- no- -Nwalk-- Energy/Ha
cc-pvdz  14   499952 -75.0482371 0.0000008
cc-pvtz  30   500017 -75.0681077 0.0000046
cc-pvqz  55   499959 -75.0722526 0.0000053
cc-pv5z  91   499995 -75.0724687 0.0000073
