#basis- no- -Nwalk-- Energy/Ha
cc-pvdz  14   999751 -37.8452824 0.0000002
cc-pvtz  30  1000043 -37.8495351 0.0000025
cc-pvqz  55  1000024 -37.8499094 0.0000022
cc-pv5z  91   999967 -37.8488957 0.0000046
