#basis- no- -Nwalk-- Energy/Ha
cc-pvdz  14   499997 -75.0226184 0.0000007
cc-pvtz  30   499928 -75.0572229 0.0000049
cc-pvqz  55   500058 -75.0665461 0.0000054
cc-pv5z  91   500025 -75.0678478 0.0000065
