#basis- no- -Nwalk-- Energy/Ha
cc-pvdz  14   499897 -37.8292729 0.0000004
cc-pvtz  30   500026 -37.8427128 0.0000012
cc-pvqz  55   499924 -37.8458770 0.0000022
cc-pv5z  91   499969 -37.8456609 0.0000034
