#basis- no- -Nwalk-- Energy/Ha
cc-pvdz  14   499907 -54.5621612 0.0000008
cc-pvtz  30   500002 -54.5842414 0.0000022
cc-pvqz  55   499987 -54.5896141 0.0000111
cc-pv5z  91   499952 -54.5897714 0.0000067
