# r ref mp2
0.1    -54.405854091708676    -54.553837144560255
0.2    -54.427936341981493    -54.563993306932034
0.3    -54.461771138188169    -54.573720583269626
0.4    -54.520377150024814    -54.594993861382882
0.5    -54.609310977892356    -54.621720960149212
0.6    -54.724807666547875    -54.646364472250930
0.7    -54.858949186746763    -54.676901760199371
0.8    -55.002384541294717    -54.725068217591840
0.9    -55.145857562810036    -54.793288099709002
1.0    -55.281372306590342    -54.873230073890383
