# ?_universal_casino_fullcurve_nocusp_eeLgaussian0.3_s?/ccpv?z/*/04_fciqmc/walker_*/ etc
# L = 0.3 Bohr
system , vdz              , vtz             , vqz
N2     , nan , nan , nan #!!! Have not run (woops)
C2     , -75.8153350(37)  , -75.882268(32)  , -75.921342(28) ###!!
CN     , -92.6039406(77)  , -92.687160(40)  , -92.728061(39)
O2     , -150.1971672(64) , -150.324345(67) , -150.366228(92)
N      , -54.54247030(14) , -54.5792469(27) , -54.5985629(90)
C      , -37.801999521(59), -37.82558978(85), -37.82558978(85)
O      , -75.01227340(29) , -75.0685921(29) , -75.088246(10)
