# just using the data from the optimisation paper/chapter
system , vdz              , vtz             , vqz
N2     , -109.4727(0) , -109.5312(0) , -109.5428(0)
C2     , -75.8844(0) , -75.9197(0) , -75.9272(0)
CN     , -92.6671(0) , -92.7152(0) , -92.7247(0)
O2     , -150.2216(0) , -150.3078(0), -150.3244(0)
N      , -54.5622(0), -54.5842(0), -54.5896(0)
C      , -37.8293(0) , -37.8427(0) , -37.8459(0)
O      , -75.0226(0), -75.0572(0) , -75.0665(0)
