# from Evelin
# MRL4(6,8)
1.92 0.021549443676160292
# 2.0 0.004488037848217831
2.08 2.366090870575418e-05
# 2.16 0.00484467226580554
2.24 0.016371640164138685
# 2.32 0.032598089425288905
2.4 0.05196887130602771
# 2.48 0.07328417279089061
2.98 0.20823815599669776
# 3.48 0.2984774279272752
3.98 0.33920990482317565
# 4.48 0.35422974631121457
4.98 0.3597037799478174
# 5.48 0.36186031558698234
5.98 0.36279703336777813
# 6.48 0.3632425691344243
6.98 0.36347152442210917
# 7.48 0.3635969922120548
7.98 0.3636695129412263
# 8.48 0.36371333885707674
8.98 0.3637408387700747
# 9.48 0.3637586577705244
10.0 0.36377091428702063
