# /algpfs1/phaupt/neci/spin-gaps/standard_fciqmc/fixparity2024/SA-CASSCF/N2-augccpvdz-gs-state_avg-8-10.out
# etc
 state  , avdz              , avtz              , avqz
 gs     , -109.096502293098(0) , -109.120532225811(0) , -109.066008027276(0)
 1Pig   , -108.731770335435(0) , -108.756500836777(0) , -108.70247368734(0)
 1Sigu- , -108.704213313194(0) , -108.729545742282(0) , -108.714123570925(0)
 1Delu  , -108.691077571345(0) , -108.716246497958(0) , -108.547234682007(0)
 3Sigu+ , -108.805427121342(0) , -108.830081275209(0) , -108.770853542941(0)
 3Pig   , -108.780365276554(0) , -108.804794920881(0) , -108.744444875442(0)
 3Delu  , -108.751122713786(0) , -108.776338279208(0) , -108.74496949229(0)
