# /algpfs1/phaupt/neci/spin-gaps/standard_fciqmc/fixparity2024/N2_SA-CASSCF_nd100/augccpvdz/gs/04_fciqmc_cas
# etc
# NB all states with >0 unc is garbage!
 state  , avdz           , avtz           , avqz
 gs     , -109.330473(0) , -109.346605(0) , -109.301049(0)
 1Pig   , -108.973623(0) , -108.989430(0) , -108.944946(0)
 1Sigu- , -108.945633(0) , -108.962681(0) , -108.945000(0)
 1Delu  , -108.933361(0) , -108.950592(0) , -108.789435(0)
 3Sigu+ , -109.038111(0) , -109.054684(0) , -109.002952(0)
 3Pig   , -109.019676(0) , -109.033975(0) , -108.985055(0)
 3Delu  , -108.988648(0) , -109.005675(0) , -108.973005(0)
