# comment
# # indicates not yet done first column; ## second column etc.
# #! indicates far from done
# /algpfs1/phaupt/neci/spin-gaps/standard_fciqmc/fixparity2024/N2/augccpv?z/CAS10_8/*/04_fciqmc/*
 state  , avdz              , avtz             , avqz
 gs     , -109.4869509(85)  , -109.535373(13)  , -109.5425809(75)
 1Pig   , -109.145095(39)   , -109.195987(78)  , -109.203377(28)   ##
 1Sigu- , -109.120941(61)   , -109.174886(16)  , -109.181163(48)  ###
 1Delu  , -109.107147(35)   , -109.160064(21)  , -109.167437(26)  ##
 3Sigu+ , -109.201530(12)   , -109.250450(12)  , -109.258386(12)  ##
 3Pig   , -109.192064(10)   , -109.2392879(69) , -109.247170(20)
 3Delu  , -109.156060(8)    , -109.2080763(57) , -109.2140954(86) ## ###!
