# comment
# /algpfs1/phaupt/neci/spin-gaps/standard_fciqmc/fixparity2024/N2_CASSCF/augccpv?z/CAS10_8
 state  , avdz             , avtz            , avqz
 gs     , -109.4780835(18) , -109.532396(12) , -109.541980(23) ###
 1Pig   , -109.1373546(26) , -109.190605(42) , -109.199510(12)  ## ###
 1Sigu- , -109.1132892(26) , -109.170494(10) , -109.175160(19) ## ###
 1Delu  , -109.1005181(27) , -109.155671(13) , -109.165405(37) ###
 3Sigu+ , -109.1954022(19) , -109.2483012(66), -109.255494(13) ###
 3Pig   , -109.185292(4)   , -109.2377690(66), -109.246687(25)  ###
 3Delu  , -109.1522449(30) , -109.2067481(64), -109.206349(27) ###!
