# values in mHa
# https://pubs.acs.org/doi/10.1021/acs.jctc.8b00406
 state  , avdz     , avtz     , avqz
 1Pig   , 345.8(0) , 343.2(0) , 343.2(0)
 1Sigu- , 369.3(0) , 363.1(0) , 364.6(0)
 1Delu  , 383.3(0) , 378.2(0) , 378.9(0)
 3Sigu+ , 283.0(0) , 283.0(0) , 284.4(0)
 3Pig   , 295.8(0) , 294.4(0) , 295.1(0)
 3Delu  , 329.3(0) , 326.0(0) , 326.3(0)
