# /algpfs1/phaupt/neci/spin-gaps/standard_fciqmc/fixparity2024/N2_SA-CASSCF_nd100/augccpvdz/gs/04_fciqmc_cas
# etc
# avtz and avqz running some more
# with these, I accidentally did not freeze the right amount of virtual orbitals
 state  , avdz           , avtz            , avqz
 gs     , -109.330473(0) , -109.466904(51) , -109.52768(90)
 1Pig   , -108.973623(0) , -109.12028(22)  , -109.18549(30) ###
 1Sigu- , -108.945633(0) , -109.09658(75)  , -109.15987(54) ###
 1Delu  , -108.933361(0) , -109.08499(35)  , -109.14714(74) ###
 3Sigu+ , -109.038111(0) , -109.181629(93)  , -109.243603(98) ###
 3Pig   , -109.019676(0) , -109.170009(60)  , -109.234815(72) ###
 3Delu  , -108.988648(0) , -109.14679(14)  , -109.20231(18) ###
