# nontc casscf avqz
state,avqz
gs,-109.077108134584
1Pig,-108.713651828574
1Sigu-,-108.716712637072
1Delu,-108.577164689567
3Sigu+,-108.777917624223
3Pig, -108.748806355275
3Delu,-108.746905023155
